z_quiet,z_volatile,danger_threshold,Baseline_Sharpe,AR_Sharpe,MS_AR_Sharpe,MS_AR_Trades,MS_AR_vs_AR,MS_AR_vs_Baseline
1.0,2.0,0.15,-6.7749157348169975,-5.647322125252624,-4.1328800498633464,74,1.5144420753892778,2.642035684953651
1.0,2.0,0.3,-6.7749157348169975,-10.352283414112776,-4.1328800498633464,74,6.2194033642494295,2.642035684953651
1.0,2.0,0.5,-6.7749157348169975,-6.755802927438525,-4.1328800498633464,74,2.6229228775751787,2.642035684953651
1.0,2.5,0.15,-6.7749157348169975,-5.647322125252624,-5.912281013589197,59,-0.2649588883365732,0.8626347212278
1.0,2.5,0.3,-6.7749157348169975,-10.352283414112776,-5.912281013589197,59,4.4400024005235785,0.8626347212278
1.0,2.5,0.5,-6.7749157348169975,-6.755802927438525,-5.912281013589197,59,0.8435219138493277,0.8626347212278
1.0,3.5,0.15,-6.7749157348169975,-5.647322125252624,-8.091241899272191,42,-2.443919774019567,-1.3163261644551936
1.0,3.5,0.3,-6.7749157348169975,-10.352283414112776,-8.091241899272191,42,2.261041514840585,-1.3163261644551936
1.0,3.5,0.5,-6.7749157348169975,-6.755802927438525,-8.091241899272191,42,-1.3354389718336659,-1.3163261644551936
1.3,2.0,0.15,-6.361770539362202,-1.2725815344471385,-1.8356633822826014,64,-0.5630818478354629,4.5261071570796005
1.3,2.0,0.3,-6.361770539362202,-7.485235178314522,-1.8356633822826014,64,5.64957179603192,4.5261071570796005
1.3,2.0,0.5,-6.361770539362202,-1.629798048195434,-1.8356633822826014,64,-0.20586533408716745,4.5261071570796005
1.3,2.5,0.15,-6.361770539362202,-1.2725815344471385,-5.143362068574606,48,-3.8707805341274675,1.2184084707875957
1.3,2.5,0.3,-6.361770539362202,-7.485235178314522,-5.143362068574606,48,2.3418731097399155,1.2184084707875957
1.3,2.5,0.5,-6.361770539362202,-1.629798048195434,-5.143362068574606,48,-3.5135640203791723,1.2184084707875957
1.3,3.5,0.15,-6.361770539362202,-1.2725815344471385,-5.695538281316532,33,-4.422956746869393,0.6662322580456701
1.3,3.5,0.3,-6.361770539362202,-7.485235178314522,-5.695538281316532,33,1.7896968969979898,0.6662322580456701
1.3,3.5,0.5,-6.361770539362202,-1.629798048195434,-5.695538281316532,33,-4.0657402331210974,0.6662322580456701
1.6,2.0,0.15,-8.091494562749435,3.2070586610464926,0.33161080618650335,60,-2.8754478548599893,8.42310536893594
1.6,2.0,0.3,-8.091494562749435,-2.801593998461132,0.33161080618650335,60,3.1332048046476353,8.42310536893594
1.6,2.0,0.5,-8.091494562749435,-0.8131081216849172,0.33161080618650335,60,1.1447189278714205,8.42310536893594
1.6,2.5,0.15,-8.091494562749435,3.2070586610464926,-2.169108526580787,45,-5.37616718762728,5.922386036168648
1.6,2.5,0.3,-8.091494562749435,-2.801593998461132,-2.169108526580787,45,0.632485471880345,5.922386036168648
1.6,2.5,0.5,-8.091494562749435,-0.8131081216849172,-2.169108526580787,45,-1.3560004048958698,5.922386036168648
1.6,3.5,0.15,-8.091494562749435,3.2070586610464926,-0.2906483487861776,28,-3.4977070098326704,7.800846213963258
1.6,3.5,0.3,-8.091494562749435,-2.801593998461132,-0.2906483487861776,28,2.5109456496749543,7.800846213963258
1.6,3.5,0.5,-8.091494562749435,-0.8131081216849172,-0.2906483487861776,28,0.5224597728987396,7.800846213963258
